Distination,Goose_pkt_appid,Goose_pkt_length,Goose_pkt_datSet,Goose_pkt_TimeAllowTolive,Goose_pkt_stNum,Goose_pkt_sqNum,Goose_pkt_Data_bit_string
0,0,0.333333333,0,0,0.003039514,0,1
0.125,0.010526316,0,0.133333333,1,0,0,0
0,0,0.333333333,0,0,0.003039514,0.2,1
0,0,0.333333333,0,0,0.003039514,0.4,1
0,0,0.333333333,0,1,0.003039514,0.6,1
0.25,0.021052632,0,0.266666667,1,0,0,0
0.375,0.031578947,0.333333333,0.4,0,0.003039514,0,1
0.5,0.042105263,0,0.533333333,1,0,0,0
0.125,0.010526316,0,0.133333333,1,0,0.2,0
0.375,0.031578947,0.333333333,0.4,0,0.003039514,0.2,1
0.375,0.031578947,0.333333333,0.4,0,0.003039514,0.4,1
0.375,0.031578947,0.333333333,0.4,1,0.003039514,0.6,1
0,0,0.333333333,0,1,0.003039514,0.8,1
0.25,0.021052632,0,0.266666667,1,0,0.2,0
0.5,0.042105263,0,0.533333333,1,0,0.2,0
0.125,0.010526316,0,0.133333333,1,0,0.4,0
0.125,0.010526316,0,0.133333333,0,0.003039514,0,0
0,0,0.333333333,0,0,0.006079027,0,1
0.625,0.052631579,0.333333333,0.666666667,0,0.003039514,0,1
0.75,0.063157895,0,0.8,1,0,0,0
0,0,0.333333333,0,0,0.006079027,0.2,1
0.125,0.010526316,0,0.133333333,0,0.003039514,0.2,0
0.625,0.052631579,0.333333333,0.666666667,0,0.003039514,0.2,1
0,0,0.333333333,0,0,0.006079027,0.4,1
0.125,0.010526316,0,0.133333333,0,0.003039514,0.4,0
0.375,0.031578947,0.333333333,0.4,1,0.003039514,0.8,1
0.625,0.052631579,0.333333333,0.666666667,0,0.003039514,0.4,1
0,0,0.333333333,0,1,0.006079027,0.6,1
0.125,0.010526316,0,0.133333333,1,0.003039514,0.6,0
0.625,0.052631579,0.333333333,0.666666667,1,0.003039514,0.6,1
0.25,0.021052632,0,0.266666667,1,0,0.4,0
0.25,0.021052632,0,0.266666667,0,0.003039514,0,0
0.25,0.021052632,0,0.266666667,0,0.003039514,0.2,0
0.25,0.021052632,0,0.266666667,0,0.003039514,0.4,0
0.25,0.021052632,0,0.266666667,1,0.003039514,0.6,0
0.5,0.042105263,0,0.533333333,1,0,0.4,0
0.5,0.042105263,0,0.533333333,0,0.003039514,0,0
0.375,0.031578947,0.333333333,0.4,0,0.006079027,0,1
0.375,0.031578947,0.333333333,0.4,0,0.006079027,0.2,1
0.5,0.042105263,0,0.533333333,0,0.003039514,0.2,0
0.75,0.063157895,0,0.8,1,0,0.2,0
0.375,0.031578947,0.333333333,0.4,0,0.006079027,0.4,1
0.5,0.042105263,0,0.533333333,0,0.003039514,0.4,0
0.375,0.031578947,0.333333333,0.4,1,0.006079027,0.6,1
0.5,0.042105263,0,0.533333333,1,0.003039514,0.6,0
0,0,0.333333333,0,1,0.006079027,0.8,1
0.125,0.010526316,0,0.133333333,1,0.003039514,0.8,0
0.625,0.052631579,0.333333333,0.666666667,1,0.003039514,0.8,1
0.25,0.021052632,0,0.266666667,1,0.003039514,0.8,0
0.125,0.010526316,0,0.133333333,0,0.006079027,0,0
0,0,0.333333333,0,0,0.009118541,0,1
0.75,0.063157895,0,0.8,0,0.003039514,0,0
0.625,0.052631579,0.333333333,0.666666667,0,0.006079027,0,1
0,0,0.333333333,0,0,0.009118541,0.2,1
0.125,0.010526316,0,0.133333333,0,0.006079027,0.2,0
0.625,0.052631579,0.333333333,0.666666667,0,0.006079027,0.2,1
0.75,0.063157895,0,0.8,0,0.003039514,0.2,0
0,0,0.333333333,0,0,0.009118541,0.4,1
0.125,0.010526316,0,0.133333333,0,0.006079027,0.4,0
0.375,0.031578947,0.333333333,0.4,1,0.006079027,0.8,1
0.5,0.042105263,0,0.533333333,1,0.003039514,0.8,0
0.625,0.052631579,0.333333333,0.666666667,0,0.006079027,0.4,1
0.75,0.063157895,0,0.8,0,0.003039514,0.4,0
0,0,0.333333333,0,1,0.009118541,0.6,1
0.125,0.010526316,0,0.133333333,1,0.006079027,0.6,0
0.625,0.052631579,0.333333333,0.666666667,1,0.006079027,0.6,1
0.75,0.063157895,0,0.8,1,0.003039514,0.6,0
0.25,0.021052632,0,0.266666667,0,0.006079027,0,0
0.25,0.021052632,0,0.266666667,0,0.006079027,0.2,0
0.25,0.021052632,0,0.266666667,0,0.006079027,0.4,0
0.25,0.021052632,0,0.266666667,1,0.006079027,0.6,0
0.5,0.042105263,0,0.533333333,0,0.006079027,0,0
0.375,0.031578947,0.333333333,0.4,0,0.009118541,0,1
0.375,0.031578947,0.333333333,0.4,0,0.009118541,0.2,1
0.5,0.042105263,0,0.533333333,0,0.006079027,0.2,0
0.375,0.031578947,0.333333333,0.4,0,0.009118541,0.4,1
0.5,0.042105263,0,0.533333333,0,0.006079027,0.4,0
0.375,0.031578947,0.333333333,0.4,1,0.009118541,0.6,1
0.5,0.042105263,0,0.533333333,1,0.006079027,0.6,0
0,0,0.333333333,0,1,0.009118541,0.8,1
0.125,0.010526316,0,0.133333333,1,0.006079027,0.8,0
0.625,0.052631579,0.333333333,0.666666667,1,0.006079027,0.8,1
0.75,0.063157895,0,0.8,1,0.003039514,0.8,0
0.25,0.021052632,0,0.266666667,1,0.006079027,0.8,0
0.75,0.063157895,0,0.8,0,0.006079027,0,0
0.625,0.052631579,0.333333333,0.666666667,0,0.009118541,0,1
0.625,0.052631579,0.333333333,0.666666667,0,0.009118541,0.2,1
0.75,0.063157895,0,0.8,0,0.006079027,0.2,0
0.375,0.031578947,0.333333333,0.4,1,0.009118541,0.8,1
0.5,0.042105263,0,0.533333333,1,0.006079027,0.8,0
0.625,0.052631579,0.333333333,0.666666667,0,0.009118541,0.4,1
0.75,0.063157895,0,0.8,0,0.006079027,0.4,0
0,0,0.333333333,0,1,0.009118541,1,1
0.125,0.010526316,0,0.133333333,1,0.006079027,1,0
0.625,0.052631579,0.333333333,0.666666667,1,0.009118541,0.6,1
