Distination,appid,len,path,time,state,seq,data_cnt
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 29.926999986)",2,0,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 29.926999986)",1,0,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 29.926999986)",2,1,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 29.926999986)",2,2,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 29.926999986)",2,3,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 31.88499999)",1,0,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 34.54699999)",2,0,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 34.54699999)",1,0,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 29.926999986)",1,1,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 34.54699999)",2,1,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 34.54699999)",2,2,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 34.54699999)",2,3,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 29.926999986)",2,4,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 31.88499999)",1,1,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 34.54699999)",1,1,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 29.926999986)",1,2,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 39.926999986)",2,0,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 39.926999986)",3,0,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 40.047999978)",2,0,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 40.047999978)",1,0,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 39.926999986)",3,1,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 39.926999986)",2,1,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 40.047999978)",2,1,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 39.926999986)",3,2,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 39.926999986)",2,2,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 34.54699999)",2,4,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 40.047999978)",2,2,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 39.926999986)",3,3,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 39.926999986)",2,3,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 40.047999978)",2,3,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 31.88499999)",1,2,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 41.88499999)",2,0,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 41.88499999)",2,1,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 41.88499999)",2,2,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 41.88499999)",2,3,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 34.54699999)",1,2,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 44.54699999)",2,0,1
