Distination,appid,len,path,t,state,seq,data_cnt
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,0.0,2,0,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,0.0,1,0,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,0.0,2,1,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,0.0,2,2,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,0.0,2,3,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,1.9580000638961792,1,0,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,4.620000004768372,2,0,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,4.620000004768372,1,0,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,0.0,1,1,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,4.620000004768372,2,1,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,4.620000004768372,2,2,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,4.620000004768372,2,3,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,0.0,2,4,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,1.9580000638961792,1,1,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,4.620000004768372,1,1,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,0.0,1,2,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,10.0,2,0,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,10.0,3,0,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,10.121000051498413,2,0,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,10.121000051498413,1,0,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,10.0,3,1,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,10.0,2,1,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,10.121000051498413,2,1,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,10.0,3,2,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,10.0,2,2,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,4.620000004768372,2,4,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,10.121000051498413,2,2,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,10.0,3,3,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,10.0,2,3,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,10.121000051498413,2,3,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,1.9580000638961792,1,2,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,11.95800006389618,2,0,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,11.95800006389618,2,1,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,11.95800006389618,2,2,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,11.95800006389618,2,3,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,4.620000004768372,1,2,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,14.620000004768372,2,0,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,14.620000004768372,3,0,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,14.620000004768372,3,1,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,14.620000004768372,2,1,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,10.121000051498413,1,1,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,14.620000004768372,3,2,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,14.620000004768372,2,2,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,14.620000004768372,3,3,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,14.620000004768372,2,3,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,10.0,3,4,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,10.0,2,4,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,10.121000051498413,2,4,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,11.95800006389618,2,4,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,20.0,3,0,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,20.0,4,0,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,20.121000051498413,2,0,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,20.121000051498413,3,0,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,20.0,4,1,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,20.0,3,1,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,20.121000051498413,3,1,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,20.121000051498413,2,1,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,20.0,4,2,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,20.0,3,2,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,14.620000004768372,3,4,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,14.620000004768372,2,4,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,20.121000051498413,3,2,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,20.121000051498413,2,2,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,20.0,4,3,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,20.0,3,3,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,20.121000051498413,3,3,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,20.121000051498413,2,3,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,21.95800006389618,3,0,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,21.95800006389618,3,1,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,21.95800006389618,3,2,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,21.95800006389618,3,3,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,24.62000000476837,3,0,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,24.62000000476837,4,0,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,24.62000000476837,4,1,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,24.62000000476837,3,1,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,24.62000000476837,4,2,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,24.62000000476837,3,2,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,24.62000000476837,4,3,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,24.62000000476837,3,3,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,20.0,4,4,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,20.0,3,4,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,20.121000051498413,3,4,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,20.121000051498413,2,4,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,21.95800006389618,3,4,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,30.121000051498413,3,0,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,30.121000051498413,4,0,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,30.121000051498413,4,1,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,30.121000051498413,3,1,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,24.62000000476837,4,4,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,24.62000000476837,3,4,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,30.121000051498413,4,2,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,30.121000051498413,3,2,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,20.0,4,5,1
